featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	-0.872974139776016	-0.722442685821045	-0.930907503916928	-0.178496948366962	4.36229968446715	-0.0394346352450074	0.478543566098093	0.525846287836434	0.742800404228054	0.532670299644531	0.763514875425238
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	1.26591277812765	9.36897035710044	0.25452778527387	-5.55281595582005	9.18104513916461	-0.642797336582681	0.253906295884878	0.0477305983424148	0.232704284874376	0.0500977975095454	0.243856629679642
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	1.27772778501537	6.12994240640637	0.0265001516732672	-4.54634352865182	6.61272169213597	-0.593057605333262	0.260078067329418	0.0958601454097509	0.334423105325185	0.0595000559632408	0.269722797177482
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	-0.906592130376433	-0.761165208506887	-1.00161773424702	-0.345334450096708	4.42728989609878	-0.0609361780790239	0.469440836572152	0.531592256238359	0.759243022252472	0.552208026172389	0.787438101004562
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	-0.799306134919505	-0.412042426002672	-1.07953601728768	-0.739291012003745	4.7078950786627	-0.120009098497774	0.429687510134515	0.420752267554772	0.652774345425754	0.44372887485247	0.682829187110789
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	11.6691851511459	13.5677200572471	9.75280341381476	-2.60744260348762	5.65666809202585	-0.349277508451864	0.341145858296819	0.383729065891551	0.705613888846962	0.163589356633929	0.498167862505675
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium	-0.933440897136941	-0.617962570659143	-1.18208757723383	-0.764689461373553	4.49572549390195	-0.146863722493662	0.435630698430412	0.427088560527098	0.67170101414083	0.45773479733089	0.701982303609329
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter	-0.903018116316575	-0.813208483361587	-0.966297771455686	-0.351062492024794	4.90277110651264	-0.0510252891130175	0.473342006368075	0.528824384972429	0.754512516955133	0.539412379397573	0.770131667628679
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia	-0.726889177234479	-0.790350752960961	-0.663405938489287	0.330695052760659	4.27169230675872	0.0620031523653553	0.467447921285364	0.464880826532128	0.69404945578802	0.487468007577965	0.727205791870999
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus	-0.733671941972893	-0.849915100806719	-0.647350759134713	0.426030668971432	4.28970781503841	0.0844230045951989	0.451822923537152	0.481342609516645	0.715192616207292	0.48650659777641	0.722609996353256
