featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	-0.756479025841433	-0.820956406387314	-0.645841261066057	0.218389875368675	4.23404427192859	0.0373945426183719	0.477073172554045	0.515713612230631	0.687938762886362	0.516461991983973	0.694176978197907
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	-0.720985834083486	-0.782580910583707	-0.622655218347404	0.180195780817867	4.24881486188837	0.0395741127204873	0.482421876398712	0.494413593631283	0.672639111710511	0.526673033140842	0.708805962965877
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__	-0.727318407222965	-0.774308860911706	-0.609868211424862	0.252339860969281	4.21879141079942	0.0471838472496523	0.475585939444892	0.509258477014417	0.683775224953946	0.479247587852313	0.666045785824098
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.295020260985204	0.126667897563566	0.651730581703383	0.37176771811507	6.63941598833098	0.0482704417925126	0.471219514485517	0.615974524734497	0.783551014263415	0.604871067996509	0.774887623001608
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	-0.646755579333753	-0.626206377246287	-0.661169666599683	-0.238656479330821	4.94912020566177	-0.0475596723953351	0.481445313976627	0.528403802118594	0.707809890445685	0.533709518437087	0.719544546568733
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	8.32206861467568	9.79656000610753	0.354642835313802	-8.99591864470365	5.35699843020193	-1.40589464609828	0.120000071355843	1.94283872084393e-05	0.000217664520324861	1.01758909289093e-05	0.000131582566808597
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	-0.744862397776745	-0.80970024694172	-0.638235185414949	0.118978871972807	4.55005554910045	0.0229351970887454	0.487804879016647	0.471871866955587	0.661255705732492	0.490746214744041	0.682381690511246
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	-0.678130758361359	-0.609511664071521	-0.758129838146926	-0.184605334097498	4.5265166722557	-0.0256321254124423	0.484375001242977	0.520310362573538	0.699122751366082	0.533982041464483	0.726114579505294
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	7.61052233341826	4.6248185507262	10.0886904896554	5.48163004067121	7.45934374670097	0.713491056976856	0.241210965592241	0.00284110618383697	0.0153910651879492	0.00538966757610758	0.0286379052783641
