featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	-0.751194645653703	-0.871875765301182	-0.602808662681424	0.243634030014647	4.24946093157611	0.0544783065558748	0.473632814601319	0.494615146867973	0.677040430106154	0.521623956880616	0.704468695558212
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	-0.741944917436674	-0.790698687886829	-0.574107879199724	0.320340897658753	4.03426005403616	0.0609681651267332	0.467317075774195	0.517169060009942	0.694845125466028	0.497280910471002	0.685861078177366
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__	-0.77050231572671	-0.797155880995275	-0.720949788316181	0.119615372112912	4.22757887900268	0.0244838753756886	0.487304688509583	0.539271676748854	0.716516674352317	0.526107031433107	0.707823520768752
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.232505058695759	0.143125556014033	0.420146524161066	0.278107417409969	6.82157713863269	0.0374442474365572	0.483902440302539	0.659218846411612	0.822023875503429	0.660177615179285	0.817618136160996
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	-0.582565445332532	-0.567751271370524	-0.621327109704197	-0.29279929876802	4.91500726802697	-0.0499866303683179	0.474609377023082	0.467044291073008	0.657894786475664	0.495715966807958	0.684915495133273
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	8.33745637686821	9.74355911259024	0.298594049769062	-9.10376732725856	5.42334386821286	-1.44230632403966	0.116211011742839	2.15876498042449e-05	0.000230275484136896	1.13249324160023e-05	0.000138166725866553
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	-0.752435973030201	-0.795407610115117	-0.679113088628011	0.0627615515855666	4.76737651455097	0.0105330358097096	0.494140625465725	0.529685312316365	0.712121920781721	0.54767478439059	0.728123414519229
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	-0.609860952941213	-0.590031343534511	-0.663413860925904	-0.0679060402326233	4.37451237066471	-0.0128165433724393	0.49609375031046	0.510842455380146	0.713008023513703	0.53842358779026	0.726587476097154
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	7.60522690943509	4.62604782116194	10.0605393257487	5.77595263349079	7.65072061685158	0.711707706493088	0.235351591717897	0.00417791946763076	0.0199853904984659	0.00528832765896474	0.0280640583770255
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus	-0.720407778651943	-0.8184709914729	-0.517063874747205	0.248433126457763	4.24699953689885	0.0492643851682556	0.468750002493265	0.500947798458819	0.678352569248624	0.50846762014496	0.687006654688116
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia	-0.800753648454014	-1.08147556574292	-0.376266244417872	0.713225813010921	4.51227216940663	0.143606184019468	0.424390250039991	0.437094573901022	0.610455371973616	0.423323878107578	0.601464179926436
