featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae	-1.41476477792489	-1.75205307529681	-0.82603166816952	1.23508433018169	4.4535020855499	0.240060654217774	0.397073179256902	0.354799127341728	0.472790088479694	0.350227781382283	0.467723337911632
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	-1.50858475722094	-1.73617070926689	-1.19525645909229	0.547527737660042	4.1087069101003	0.12147435214327	0.441951224179407	0.452111207505067	0.568196778557911	0.454419378509319	0.563818260991066
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae	-1.51282750358649	-1.68292091079173	-1.23515753692614	0.505255132915324	4.39555533074976	0.0935354882224668	0.451171878917873	0.434518785943089	0.561866123764112	0.436546763717245	0.552357034040919
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	-0.388501783453346	-0.304223643933095	-0.516225109369353	-0.108722853647981	7.49295758283927	-0.0158765006800158	0.492187500621033	0.672826735398006	0.788036365372884	0.668098666350865	0.776596593450877
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	4.07300650885879	7.21673779763863	-0.128584965645456	-6.71942502517087	5.95948509266749	-0.995816985343883	0.153170784729108	0.000761386072735778	0.00338070524077246	0.0001708928943719	0.000857463334158586
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae	-1.53126513604903	-1.75375321710928	-1.14461285359455	0.665757039144324	4.22725607489386	0.130202665497408	0.427734380865684	0.399606363661008	0.522245740325124	0.408701740177186	0.52875717974483
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	-1.6263448031286	-1.7675831587932	-1.36476327438423	0.352270311984711	4.47696503801536	0.0697983958677993	0.462439027386408	0.509686449095022	0.629270278676361	0.518813964512106	0.633099197126684
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	-1.55989324436203	-1.74120369668503	-1.23327266429836	0.385318378272849	4.41160151104957	0.0749457246966952	0.461914065544462	0.462414567437367	0.581962912735582	0.463525564879903	0.581502405431691
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae	-1.62965056254936	-2.1688165915111	-0.788630343409324	1.37757806024808	4.46255935882443	0.259227778246785	0.373046885784589	0.275328932154113	0.397581173448204	0.250432866880892	0.364746510953978
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	-1.65579770355639	-1.86754190712603	-1.35497492840665	0.593252866331838	4.45774760491562	0.11280096455529	0.437073175803256	0.459141567250175	0.585871145299363	0.478854012602562	0.5949129917245
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.924631563833993	2.89303475988043	-0.5965455052719	-3.67697201261632	5.531386965285	-0.558934212945676	0.258789087484336	0.0357766660070907	0.0815469265449308	0.0261362393684795	0.0672652790528333
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	-1.05975577122485	-1.02617562271917	-1.1190724372632	-0.00293843033111507	5.36565671384962	-0.000320115627515212	0.499512195160643	0.556038380656406	0.685935456410497	0.519456036678577	0.64444975638125
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	8.15610756808176	9.74622111217868	-0.105362310047925	-9.64986954161599	4.98153169622479	-1.78001177078469	0.0468294696082858	6.46419575462704e-07	5.79574647601393e-06	1.15413963161471e-07	3.34596816575343e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	11.1506365429286	13.0204741497644	1.68686282034584	-10.2421721861836	5.76348155071065	-1.65188655269042	0.0956098488342979	2.79520012529959e-06	2.5486142469424e-05	2.25084380295726e-06	2.27995902573248e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	-1.6052241846326	-1.78259909721351	-1.28575855291482	0.549434244932796	4.24260109601612	0.120598967285904	0.438476567464609	0.484263353823967	0.60842124308808	0.467481084913645	0.592976223837841
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	-1.57067917299304	-1.84924126433426	-1.12060784661238	0.42891470294862	4.77387938981578	0.0848910326494213	0.448780491910583	0.472486018699055	0.595615911644908	0.462899149514822	0.576736225913905
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	7.95990246939382	10.4811109899553	-0.173654692372547	-10.1063270505726	5.84054326178821	-1.64047058380727	0.0800782382556663	5.94441137534734e-07	6.0152606690964e-06	1.29777857965865e-06	1.48223124419155e-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	-1.37160838549868	-1.65976335895241	-0.838751209825607	0.932038120530034	4.46146053179493	0.184950649790804	0.408203132549838	0.401086390973396	0.524633911784595	0.393952163946859	0.51862322226606
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	4.52777752061861	7.2533821110534	-0.374659921759257	-7.84313511262806	5.06386355093171	-1.47257318565546	0.0702440329214735	1.81518046667342e-06	1.43338617233989e-05	6.70536393015379e-07	9.29770280634747e-06
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	5.98387383042487	4.6559713432825	12.757238272983	7.59322790253445	5.33825010072998	1.4353717780594	0.0741464644722655	7.10599968741122e-08	1.70578185603518e-06	7.42883332485941e-07	1.10721532404601e-05
