featureid	rab.all	rab.win.1.negative	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria	-4.66437258953527	-5.20168712613883	-3.54707216242763	1.61927227572544	4.67671496708554	0.32045327237777	0.343750013761528	0.191223309087921	0.227314105741087	0.170556635840667	0.20722027299497
k__Bacteria;p__Actinobacteria	9.17959703445091	7.45269737049307	11.7872677902278	4.38937612401908	2.35206363365152	1.75381573200517	0.0439026544858201	3.67638131879422e-09	6.61748637382959e-08	3.99160252389742e-08	7.15194727696726e-07
k__Bacteria;p__Armatimonadetes	-4.92901060591522	-5.38523546862614	-4.11718396236868	1.17885172130929	4.4590684423726	0.235370597905105	0.372682937627954	0.322958273279037	0.36279429137886	0.287427609306534	0.323060091042249
k__Bacteria;p__Bacteroidetes	9.02096583956454	10.1126944335145	6.32037155704736	-3.59189248419511	3.54288800438913	-0.902897669954134	0.134634208526096	0.00122316753578011	0.00343450959781594	4.58643939541502e-05	0.000194401985771494
k__Bacteria;p__Chlorobi	-4.91160882171126	-5.23996361232918	-4.33763222873864	0.679429170380206	4.5748994030189	0.127249330962024	0.434570317790477	0.447306280111549	0.491566375597477	0.456500289333798	0.4973061964952
k__Bacteria;p__Chloroflexi	-4.80110999406106	-5.1895497653983	-4.04315114426349	1.12408563854299	4.83026442709544	0.200839025025754	0.389648446719007	0.346415835770056	0.391182009328504	0.32326196066799	0.363120101941792
k__Bacteria;p__Cyanobacteria	-0.870300283755145	-3.73702313395826	3.14699954385966	6.07396177369765	7.05910429828801	0.751215596288224	0.242187527909304	0.00390116170283381	0.0086353357077858	0.00398495815049399	0.00856614647639628
k__Bacteria;p__Firmicutes	10.7403169617394	10.4209092783735	11.5127435676199	1.13803213644699	2.23269418940728	0.430265979479622	0.304390262221572	0.0601192828720056	0.0894263675027809	0.0433306376778631	0.0651183348170161
k__Bacteria;p__Fusobacteria	7.61054398606782	8.58777227115414	1.9951873530542	-5.96940921973785	6.09426067485041	-0.887449129378283	0.169921921495051	0.000780816510853026	0.00257659806421411	0.000315816739240127	0.000941358495219887
k__Bacteria;p__Gemmatimonadetes	-4.8962829440225	-5.28607906498761	-4.06646158835709	1.04499507923799	4.56597838623316	0.200776051498475	0.387317082586734	0.370369637311279	0.408345235806515	0.336839358312361	0.375530377165984
k__Bacteria;p__Planctomycetes	-4.92238795644919	-5.19401009394073	-4.46635534574372	0.682167236129341	4.25816734952454	0.141528742988823	0.434146346778993	0.409014208114955	0.448573187237988	0.414294064135496	0.454405686741269
k__Bacteria;p__Proteobacteria	10.3717943022568	9.60936640582314	13.3871564073576	3.57738195973377	2.50023288382008	1.20778953257951	0.110243981230099	0.00139036002165944	0.0038388264971615	1.21483435166028e-05	7.0820399707646e-05
k__Bacteria;p__SR1	-3.27759922070754	-2.08252695120067	-4.27859095627553	-2.43648299488651	6.02850209892179	-0.37547414727723	0.338867201789743	0.120542504297688	0.159589989318197	0.137971004692991	0.177570605399672
k__Bacteria;p__Spirochaetes	-0.891986938812106	1.15376238671144	-3.40386040538503	-4.10992791140805	5.74614242772588	-0.650263694924848	0.260487829533085	0.0220108257195183	0.0368033165747907	0.0128130276753988	0.023084697412037
k__Bacteria;p__Synergistetes	-4.26320606611778	-4.48714752921248	-3.93401581396561	0.417801456097676	4.83377592921005	0.0733683738288115	0.465365856418887	0.550311106362289	0.592048152004794	0.554774206757467	0.588898086992705
k__Bacteria;p__TM7	4.48688423641447	5.71662807723127	0.249206405192046	-5.35917750886255	5.00605516812642	-0.976843830000421	0.12890631566026	0.000362682794230501	0.0013672721091616	2.44065061653805e-05	0.000121243737093201
k__Bacteria;p__Tenericutes	-2.25552820347002	0.9130316247133	-4.19115122494601	-4.94315451232374	5.11572788624862	-0.805176442948494	0.211914096772607	0.00296658424191818	0.00612629902082002	0.00339524485622862	0.00681930602625772
k__Bacteria;p__[Thermi]	-3.92117516124199	-5.19830135033708	-0.538673463320581	4.56221679580572	4.6016944760807	0.826738000060885	0.1738281701247	0.00618601715832698	0.010528082661263	0.00135164688212518	0.00295103542039352
