Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	1.negative	1.negative	1.negative	1.negative	1.negative	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	1.0	16.0	143.5	505.25	1253.0	1.0	1.0	1.0	1.0	69.0	1.0	2.0	43.0	276.5	549.0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	1.0	1.0	1.0	1.0	21.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	1.0	1.0	1.0	1.0	40.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	1.0	1.0	1.0	1.0	35.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	1.0	1.0	8.0	40.75	445.0	1.0	1.0	1.0	1.0	12.0	1.0	14.5	24.0	51.0	289.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	1.0	1.0	1.0	1.0	62.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.5	17.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	1.0	253.75	696.0	2052.5	21734.0	1.0	1.0	2.0	93.5	2321.0	117.0	297.0	445.0	2763.5	4017.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	1.0	2615.75	7092.0	13261.5	26994.0	1.0	1.0	30.5	353.0	5056.0	698.0	2376.0	4931.0	8362.5	14490.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	1.0	1.0	1.0	1.0	33.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	1.0	701.25	1143.0	1780.0	7287.0	1.0	1.0	1.0	1.75	2946.0	197.0	594.0	1318.0	1721.0	2701.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	1.0	1.0	1.0	1.0	24.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	1.0	37.5	139.0	626.25	4906.0	1.0	1.0	5.5	72.0	435.0	1.0	63.5	348.0	459.0	2022.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	1.0	1.5	32.5	54.75	796.0	1.0	1.0	5.0	46.0	9379.0	1.0	5.5	35.0	47.0	102.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	1.0	1.0	1.0	1.0	42.0	1.0	1.0	1.0	2.0	9.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	1.0	1.0	1.0	1.0	19.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	1.0	15.0	1.0	1.0	1.0	1.0	1.0
