Feature.ID	AS-01	AS-02	AS-03	AS-04	AS-05	AS-06	AS-07	AS-08	AS-09	AS-10	AS-11	AS-12	AS-13	AS-14	AS-15	AS-16	AS-17	AS-18	AS-19	MI-01	MI-02	MI-03	MI-04	MI-05	MI-06	MI-07	MI-08	MI-09	MI-10	MI-11	MI-12	MI-13	MI-14	MI-15	MI-16	NE-01	NE-02	NE-03	NE-04	NE-05	NE-06	NE-07	NE-08	NE-09	NE-10	NE-11	NE-12	NE-13	NE-14	NE-15	NE-16	NE-17	NE-18	NE-19	NE-20	NE-21	NE-22	NE-23	NE-24	NE-25	NE-26	SE-01	SE-02	SE-03	SE-05	SE-06	SE-07	SE-09	SE-10	SE-11	SE-12	SE-13	SE-14	SE-16	SE-17	SE-18	SE-19
410389	0	0	0	0	0	0	0	0	0	0	0	0.04	6.86	0	0	0	0	0	0	3.27	3.94	6.38	5.99	0.59	4.93	3.48	6.75	6.1	4.57	6.97	0.15	0	0	2.8	3.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77365	0	0	0	0	0	0	0	0	0.78	3.51	0.99	0	0.02	0.57	1.26	1.87	5.52	0.04	3.26	0.05	0.03	0.67	0.34	0.53	2.69	0.09	0.09	0.31	1.01	0.19	0.05	0.05	1.32	1.11	1.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	1	2.72	0.01	0.03	14.71	0.65	1.34	0	0	0	0.16	0.14	0.41	0	0	2.54	0	0	0.03	0	0.25	0.01
947646	0	0	0	0	0	0	0	0	0	0	0	0	1.86	0	0	0	0	0	0	0.8	3.02	2.69	2.42	0.38	1.54	1.06	2.56	2.24	1.69	2.59	0.1	0	0	0.68	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.12	0	0	0.19	0.02	0.13	0	0.03	0	0.06	0	1.06	0	0	0	0	0	0	0	0	0	0	22.36	0	0	0	0	0
505071	0	0	0	0	0	0	1.2	0	0	0	0.6	0	0	9.14	3.19	0	0	0	0	0.77	1.79	0	0	8.89	0.13	0	0.38	0.45	0	0	0	0.01	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.05	0	0	0.13	0	1.61	0.07	0	0	0	0	0	0	0	0	0	0	0.09	12.09	0.25	0
915428	0	0	0	0	0	0	0	0.68	5.03	4.16	1.4	0	0	0.85	1.07	2.79	4.71	0.18	10.19	0.22	0	0	0	0	0	1.33	0	0	0	0	0	0	0	2.83	1.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	2.53	0	0	0	0.47	0	0.41	0.92	0	0.45	0.48	2.84	0.77	0	5.23	0	0	0.13	0	0.85	0
1075821	0	0	0	0	0	0	0.81	0	0	0	0.53	0	0	9.26	7.4	0	0	0	0	2.99	1.82	0.13	0	9.42	0.18	0	0.34	0.53	0	0	0	0	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	1.3	0.64	0	0	0	0	0	0	0.11	0	0	0	0.06	14.87	0.04	0
858131	9.74	2.57	9.42	0.45	5.34	3.02	0.48	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0.02	0	0.03	0	0.03	0	0	0	0.02	0	0	0	0	0	6.11	3.87	0.89	2.07	4.25	9.27	0.29	6.37	0.58	0	0	2.03	4.85	0	0	0.11	4.8	1.65	10.93	4.8	0.03	0	0.48	0.78	0	0.74	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.32
4461718	0	0	0	0	0	0	0	0	0	0	0	0	1.69	0	0	0	0	0	0	2.36	4.12	4.99	5.31	0.88	3.67	3.73	5.94	4.56	3.54	6.53	0.17	0	0	2.6	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1050889	0	0	0	0	0	0	1.46	0	0	0	0.62	0	0	14.83	9.07	0	0	0	0	3.32	3.75	0.19	0	15.56	0.23	0	0.58	0.76	0	0.01	0	0	0	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.32	0	2.1	1.01	0	0	0.06	0	0	0	0.29	0	0	0.02	0.16	27.28	0.29	0
940876	0.19	4.1	0	0	1.68	3.13	1.48	3.96	0	0	2.1	3.26	0.4	1.43	0.13	0.52	0	0	0	0.04	0.05	0.04	0.1	0.22	0.11	2.47	0	0.06	0.03	0.02	0.16	0	0.28	0	0	1.9	1.73	0	0	2.99	0	2.15	1.6	0.86	2.12	1.61	1.58	2.38	3.21	1.08	3.93	5.73	1.15	0.8	2.55	0.18	0.53	0.55	1.03	0	3.95	0.24	8.65	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0
