featureid	rab.all	rab.win.1.negative	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	-1.68298440597714	-1.52763923676327	-2.06174607094179	-0.330532419954727	4.48346688907318	-0.0580872571063285	0.46634146609651	0.504186529241105	0.667749628539134	0.489460590422438	0.65588120335577
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	-1.82628538067126	-1.67596433721864	-2.06429961621076	-0.245889281397584	4.60738253562121	-0.0515551519773724	0.476097562875842	0.575888379884629	0.739467392018555	0.540543715573156	0.706260998073348
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__	-1.85263169336354	-1.81701203222959	-1.91013050857423	-0.0210746786106339	4.55920606403533	-0.0044462924444594	0.498046875155223	0.494393763638362	0.670199918313264	0.531298725530389	0.690031922583807
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	-1.62968605617811	-1.46037149211482	-1.88499347087129	-0.288587103227504	4.28994279850125	-0.0590926347850992	0.46634146609651	0.541055289554265	0.69861523236089	0.53533087223307	0.692130661405636
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017	-1.76956245262323	-1.71743221237697	-1.87556177090346	-0.188921581565732	4.38718673823908	-0.0359779958238678	0.480000001588899	0.538538706716755	0.706793897171575	0.536297816225595	0.70092201828323
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	-1.73942619959512	-1.51538374078006	-2.17550552920327	-0.576456417991189	4.28213423469654	-0.105697585726542	0.442382817140624	0.479363614128615	0.640736092035146	0.458739852560327	0.620545175045293
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	2.54402645472147	-0.536760257498991	8.82587859706928	9.09401979801326	4.95302384410183	1.56845651859447	0.0712196407328868	6.95617601479914e-07	8.08612962510174e-06	5.62059524810808e-07	8.35804253295467e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	7.85475143173925	9.1925683943833	2.72091193654144	-5.83629781073493	5.03482679436586	-1.02326035318011	0.111328203053842	0.000169131090680192	0.000857073832613245	6.50169170054631e-06	4.68405236606751e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	-0.806501325977152	-1.35827522981591	0.701962476072144	2.05254284029933	5.51214555457825	0.340083413666262	0.341463428614439	0.157472993810591	0.304271961335	0.142993102197747	0.282820069651776
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae	-1.7779386224836	-1.79293961972303	-1.74561610977157	0.194942934050867	4.64902559969955	0.0388751376732125	0.481951220945653	0.545222578812143	0.706460077181695	0.546865733801639	0.701702883033214
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	9.65552489177683	3.88396057035722	13.6938634035754	9.61727431107765	6.20030237912545	1.39441509105032	0.0546876711412996	2.56434995802078e-08	6.02559266115287e-07	6.27315099052723e-08	2.9803799384348e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	-1.44382953665328	-1.74251222605334	-0.873057538670096	1.27650268069993	5.03326859937085	0.222992983718502	0.399414070831006	0.371348299161073	0.533004968249422	0.356496054486543	0.52096204029786
