Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	1.negative	1.negative	1.negative	1.negative	1.negative	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase
k__Bacteria;p__Acidobacteria	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Actinobacteria	55.0	609.5	1623.0	3645.25	20572.0	224.0	1651.25	8083.0	14573.0	20049.0	486.0	963.5	2115.0	3331.5	5281.0
k__Bacteria;p__Bacteroidetes	1.0	6790.5	9487.5	16416.75	51804.0	1.0	32.5	335.5	1307.75	10803.0	5452.0	5934.0	9211.0	10187.0	18354.0
k__Bacteria;p__Chlorobi	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	1.0	15.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Chloroflexi	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Cyanobacteria	1.0	1.0	1.0	9.0	3106.0	1.0	7.0	38.0	176.5	468.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes	2450.0	8206.75	12285.0	18818.5	89088.0	5228.0	7933.5	11727.0	22845.25	27215.0	5876.0	8161.5	10380.0	14120.5	18597.0
k__Bacteria;p__Fusobacteria	1.0	1519.5	4417.5	5796.5	21048.0	1.0	1.0	14.5	534.0	4354.0	514.0	1863.0	3059.0	4358.0	5682.0
k__Bacteria;p__GN02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	59.0
k__Bacteria;p__Gemmatimonadetes	1.0	1.0	1.0	1.0	19.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Planctomycetes	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Proteobacteria	18.0	5180.0	8294.0	13627.25	26062.0	167.0	1185.75	3962.0	10101.75	16487.0	659.0	1367.5	2589.0	6588.5	9202.0
k__Bacteria;p__SR1	1.0	1.0	1.0	68.5	354.0	1.0	1.0	1.0	1.0	62.0	1.0	6.0	8.0	39.5	785.0
k__Bacteria;p__Spirochaetes	1.0	1.75	18.0	109.75	399.0	1.0	1.0	1.0	1.0	44.0	1.0	36.0	78.0	145.5	200.0
k__Bacteria;p__Synergistetes	1.0	1.0	1.0	1.0	17.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0
k__Bacteria;p__TM7	1.0	276.25	462.0	1147.0	6250.0	1.0	1.0	1.0	22.5	1439.0	61.0	154.5	537.0	1880.0	2826.0
k__Bacteria;p__Tenericutes	1.0	1.0	19.0	109.0	456.0	1.0	1.0	1.0	2.0	36.0	1.0	3.5	24.0	78.0	156.0
k__Bacteria;p__[Thermi]	1.0	1.0	1.0	1.0	242.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
