featureid	rab.all	rab.win.2.asymptomatic	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	-0.768078184898433	-0.494105110546274	-1.05580775828071	-0.606231539485029	4.31551015553885	-0.128091628061563	0.435546880208826	0.513106385031886	0.723506440428042	0.49647003683248	0.719127274928471
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__	-0.834001195293132	-0.524344880738994	-1.18853450860757	-0.527391931546211	4.54355721345833	-0.105220974968774	0.449756101586866	0.4782422546332	0.707376739909751	0.478212976281734	0.709645927483736
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__	-0.725277663397994	-0.47018330384588	-1.02382397978605	-0.443396537622434	4.51503009147217	-0.0900597156136557	0.457031253440255	0.500219710419766	0.726351655832677	0.502033442470249	0.727454922806952
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	-0.623231458893164	-0.342166549591383	-1.00837856438782	-0.56233625372707	4.61101938231577	-0.101757431833336	0.443902443530651	0.480569327991733	0.712947209975137	0.497118268977804	0.718203545682488
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	-0.782322566606855	-0.582631548156247	-1.04080485383427	-0.324230624868338	4.37647916265012	-0.0688771223339288	0.46634146609651	0.483757783395972	0.710906181439382	0.479619806339222	0.706918819628061
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	9.18286632627836	1.39302111077943	9.71705262417345	7.97051909022276	8.62869222321267	0.755944593169635	0.310243920022622	0.00320699484814748	0.0364538688578999	0.0544547651620541	0.261884836114781
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__	-0.777242834777878	-0.475893722033161	-1.05891565450482	-0.57332794336386	4.31192731586532	-0.111048124492275	0.451707320939712	0.507360209036538	0.71767840878164	0.500114106199445	0.719483323828359
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	-0.76507054624139	-0.542641550082351	-1.00376946603471	-0.418640078858627	4.42656496882012	-0.0852708206073859	0.448780491910583	0.44561125559043	0.6840087358336	0.481222350281986	0.710224324354264
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	5.94013239144065	7.95775568097453	3.34495332291917	-3.74502439730823	7.17443067296804	-0.515945486053898	0.269268315935706	0.0337648115775904	0.175339402528606	0.0180691904796142	0.133552496869115
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	-0.660800876715541	-0.311236472785218	-1.03352508494156	-0.74711874473964	4.5836184989312	-0.141711656432592	0.421875006364191	0.455343133410573	0.68066449856857	0.438004227943447	0.666302502702309
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	0.331523342521839	-0.200957153131249	1.37019697929238	1.56860980040587	5.70333091478765	0.259773094915788	0.386718759489904	0.319487498514901	0.567220800905872	0.286555192432924	0.54259133462831
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea	-0.710106877936417	-0.313484786854149	-1.16469660712519	-0.639624516837619	4.265758912662	-0.13706767239314	0.43902439515337	0.472595220396583	0.695633582269335	0.444520957769009	0.668050961619398
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Demequina	-0.753440278346307	-0.534459350323745	-1.02069747239037	-0.334519592918065	4.45986926761263	-0.0714085571902485	0.46634146609651	0.52714917848331	0.756985467222475	0.545575565144742	0.759791658347405
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	13.8481534711144	12.1434773328075	14.5085805890576	2.89275407622839	4.79317456822935	0.495304030536433	0.226341494403539	0.00261464606187522	0.03880287705471	0.0036179108465371	0.048992486018635
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium	-0.28690378121158	-0.382358957539479	-0.146779504154631	0.404621528134707	5.14122724307667	0.0745713970393043	0.461914065544462	0.53881230317977	0.755295478553206	0.549151953697521	0.766958127425256
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter	-0.74176683215188	-0.170001678609045	-1.28208414577871	-1.0875998693171	4.86020525451443	-0.198249745993367	0.393554696361118	0.353839688122754	0.578718672854244	0.353287342807902	0.577731037649748
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus	-0.697595575205474	-0.602584728960004	-0.823148154627797	-0.0411468123482361	4.80688944193184	-0.00675641561596439	0.495609756445813	0.511624213604505	0.738913942118934	0.541220001480106	0.763098553758232
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia	-0.55456323109923	-0.427877668209184	-0.730679548431153	-0.149642376574164	4.25816560143684	-0.0314683296838546	0.486328126087356	0.518408531874287	0.736882878111178	0.533133216376853	0.7490092783983
