featureid	rab.all	rab.win.2.asymptomatic	rab.win.3.mild	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__	-1.78618231671874	-1.52503616142737	-2.13445390613085	-0.628230521823119	4.29180911450677	-0.128811133184485	0.424390250039991	0.435834069861625	0.626324599789731	0.475220569615818	0.656141958978234
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	-1.7826655966592	-1.37615000556123	-2.40651428540203	-0.866935390105096	4.47796659161416	-0.163319619886864	0.420898443947802	0.438132732924614	0.63299199429105	0.377864545515168	0.576601816714876
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__	-1.74266478599572	-1.38330388647186	-2.16638312989204	-0.626577529422498	4.57875497842784	-0.123455863669392	0.436097566128379	0.436415985266694	0.62586897478053	0.459447024340013	0.632639217761084
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__	-1.64619314152902	-1.20561893513583	-2.19398430141855	-0.813938751609254	4.61601582369303	-0.149940775618452	0.416992194283836	0.418060711066712	0.612923279882717	0.390049891705925	0.590295867079141
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017	-1.75245331443416	-1.40234388761178	-2.2393858298732	-0.770284608058009	4.37790297585447	-0.154199288959578	0.414062507037594	0.436643115567742	0.612485028009793	0.427208432751637	0.621272522687788
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	8.10010751830218	0.398646751837465	8.60780112393845	7.82976615996679	8.5982604224115	0.741815652844806	0.325195328326663	0.0041212858806721	0.0388026551675302	0.0872276467616816	0.291401341649623
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	4.67714079919078	7.07028911956777	2.52793207562997	-3.62440414652685	6.29346470953662	-0.511394915216798	0.269268315935706	0.0375745598937411	0.159836043132209	0.0193746164803574	0.120646216790236
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae	-0.500643621898005	-1.02937688493499	0.725116386203567	1.71669079755727	5.74370019493859	0.263071856142861	0.376953135409292	0.310267098356886	0.516341950338359	0.29270654149548	0.505149158746579
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae	-1.66112255199926	-1.45396004532845	-1.88182758915438	-0.460553143427294	4.44620073935464	-0.0855400636881103	0.456585369323373	0.517364491847644	0.692505055221469	0.513579696484744	0.694204239197364
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	12.8915679654882	10.9013047520832	13.581751069219	2.67395727587382	5.24304772771931	0.45604094103208	0.241951247411125	0.0035412591763164	0.0428940226404847	0.00905472886646822	0.0790856978101813
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	-1.2321524222852	-1.25394423289437	-1.17526454746292	0.42767161909005	5.3875566672575	0.0771580977125928	0.46777344007182	0.609291868098715	0.774222613522138	0.564709805555064	0.735845864284358
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	-1.62993296803635	-1.41078389846116	-1.96441823289603	-0.278476366640391	4.88835978976814	-0.0525097774149348	0.475585939444892	0.548120774035204	0.728700088546596	0.569943596138086	0.738820714832264
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	-1.59418899882722	-1.43605589769191	-1.81505231917166	-0.195565238561108	4.60730906469132	-0.0331146735152492	0.480000001588899	0.488979615189564	0.675181548657761	0.483374890272095	0.67471375232228
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	-0.944354069931205	-1.36583607106295	0.0528795855304125	2.22650927865103	5.28646802368758	0.367594882210607	0.35024391548794	0.21553987350596	0.3983293990604	0.212240238776993	0.406395966162732
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	-1.83323060700911	-1.1919507293414	-2.48014027410532	-1.31101409083863	4.5842509253818	-0.264126899997704	0.369756108643642	0.317385867182556	0.51843938004305	0.296660179738182	0.493068521213961
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	-1.17402141592525	-0.997967126710628	-1.3977527893333	-0.294603223523758	5.65218883899901	-0.0472890889844766	0.473632814601319	0.599789853808261	0.775957181115827	0.597318043767736	0.770887866264494
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	-1.76087524576995	-1.39643175530602	-2.20270702241971	-0.663766085467081	4.48684229511443	-0.128675083686193	0.440000004828602	0.446957156820533	0.644406002542451	0.439983922655839	0.635847268597025
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	4.52083630957091	2.98574567252435	4.83973234313662	0.124214246346771	6.53482131689819	0.0191247774711394	0.487304688509583	0.507546234107291	0.711400437008346	0.818440205165875	0.912447625884777
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	7.92627078536738	8.77983347772001	7.57073076222717	-1.01086212931144	3.4785999291184	-0.161350701316094	0.382812509854549	0.764024199106148	0.882535428290987	0.256371094887787	0.524084983186345
